"filename", "language", "Python", "JavaScript", "comment", "blank", "total"
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\gamesave\generatelaboratory.mjs", "JavaScript", 0, 40, 0, 4, 44
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\fetchmonsters.mjs", "JavaScript", 0, -13, 1, 0, -12
"e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\monsters\generateogmonsters.mjs", "JavaScript", 0, 85, 1, 8, 94
"e:\Projects\Python\if1210-2024-tubes-k08-a\main.py", "Python", 15, 0, 1, 0, 16
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\ui_logic.py", "Python", 28, 0, 13, 0, 41
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\battle.py", "Python", 5, 0, 2, 0, 7
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\ui_logic.py", "Python", 154, 0, 13, 0, 167
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\generateinit.mjs", "JavaScript", 0, 1, 1, 0, 2
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\__init__.py", "Python", 4, 0, 0, 0, 4
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\inventory.py", "Python", 23, 0, 0, 4, 27
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\laboratory\__init__.py", "Python", 5, 0, 0, 0, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\laboratory\laboratory.py", "Python", 27, 0, 0, 4, 31
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\__init__.py", "Python", 6, 0, 0, 4, 10
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\menu.py", "Python", 5, 0, 0, 0, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_battle.py", "Python", 33, 0, 1, 0, 34
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_debug.py", "Python", 14, 0, 0, 2, 16
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_inventory.py", "Python", 266, 0, 107, 12, 385
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_laboratory.py", "Python", 398, 0, 0, 15, 413
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_shop.py", "Python", 194, 0, 6, 1, 201
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\__init__.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\state.py", "Python", 20, 0, 0, 1, 21
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\visual.py", "Python", 41, 0, 1, 0, 42
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\__init__.py", "Python", -4, 0, 0, 0, -4
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\coroutines.py", "Python", 8, 0, 0, 1, 9
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\csv.py", "Python", 5, 0, 0, 0, 5
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\generateinit.mjs", "JavaScript", 0, 1, 1, 0, 2
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\__init__.py", "Python", 1, 0, 0, 0, 1
"e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\primordials.py", "Python", 30, 0, 4, 1, 35
"Total", "-", 1279, 114, 152, 57, 1602
